,Station Id,Station Name,lat,lon,geometry
283,7312,Amelia St. / Sumach St.,43.66852,-79.363525,POINT (-79.363525 43.66852)
284,7313,Coxwell Ave /  Lake Shore Blvd E,43.662771,-79.315223,POINT (-79.315223 43.662771)
285,7314,Queen St. E / Eastern Ave,43.667208,-79.312315,POINT (-79.312315 43.667208)
286,7315,Queen St E / Hammersmith Ave,43.671349,-79.29451,POINT (-79.29451 43.671349)
287,7316,Queen St. E / Spruce Hill Rd.,43.672571,-79.289,POINT (-79.289 43.672571)
288,7317,Hubbard Blvd / Balsam Av,43.669328,-79.288949,POINT (-79.288949 43.669328)
289,7318,Hubbard Blvd. / Glen Manor Dr.,43.668633,-79.291162,POINT (-79.291162 43.668633)
290,7319,Lake Shore Blvd E / Knox Ave,43.660206,-79.3244,POINT (-79.3244 43.660206)
291,7320,Front St W / University Ave (1),43.6451635,-79.3831757,POINT (-79.3831757 43.6451635)
292,7321,Front St W / University Ave (2),43.6452972,-79.3827914,POINT (-79.3827914 43.6452972)
293,7322,King St W / Brant St,43.645062,-79.397345,POINT (-79.397345 43.645062)
